0	1	2	undefined
1	1	2	undefined
2	1	2	undefined
3	1	2	undefined
4	1	2	undefined
5	1	2	undefined
6	1	2	undefined
7	1	2	undefined
8	1	2	undefined
9	1	2	undefined
10	1	2	undefined
11	1	2	undefined
12	1	2	undefined
13	1	2	undefined
14	1	2	undefined
15	1	2	undefined
16	1	2	undefined
17	1	2	undefined
18	1	2	undefined
19	1	2	undefined
20	1	2	undefined
21	1	2	undefined
22	1	2	undefined
23	1	2	undefined
24	1	2	undefined
25	1	2	undefined
26	1	2	undefined
27	1	2	undefined
28	1	2	undefined
29	1	2	undefined
30	1	2	undefined
31	1	2	undefined
32	1	2	undefined
33	1	2	undefined
34	1	2	undefined
35	1	2	undefined
36	1	2	undefined
37	1	2	undefined
38	1	2	undefined
39	1	2	undefined
40	1	2	undefined
41	1	2	undefined
42	1	2	undefined
43	1	2	undefined
44	1	2	undefined
45	1	2	undefined
46	1	2	undefined
47	1	2	undefined
48	1	2	undefined
49	1	2	undefined
50	1	2	undefined
51	1	2	undefined
52	1	2	undefined
53	1	2	undefined
54	1	2	undefined
55	1	2	undefined
56	1	2	undefined
57	1	2	undefined
58	1	2	undefined
59	1	2	undefined
60	1	2	undefined
61	1	2	undefined
62	1	2	undefined
63	1	2	undefined
64	1	2	undefined
65	1	2	undefined
66	1	2	undefined
67	1	2	undefined
68	1	2	undefined
69	1	2	undefined
70	1	2	undefined
71	1	2	undefined
72	1	2	undefined
73	1	2	undefined
74	1	2	undefined
75	1	2	undefined
76	1	2	undefined
77	1	2	undefined
78	1	2	undefined
79	1	2	undefined
80	1	2	undefined
81	1	2	undefined
82	1	2	undefined
83	1	2	undefined
84	1	2	undefined
85	1	2	undefined
86	1	2	undefined
87	1	2	undefined
88	1	2	undefined
89	1	2	undefined
90	1	2	undefined
91	1	2	undefined
92	1	2	undefined
93	1	2	undefined
94	1	2	undefined
95	1	2	undefined
96	1	2	undefined
97	1	2	undefined
98	1	2	undefined
99	1	2	undefined
100	1	2	undefined
101	1	2	undefined
102	1	2	undefined
103	1	2	undefined
104	1	2	undefined
105	1	2	undefined
106	1	2	undefined
107	1	2	undefined
108	1	2	undefined
109	1	2	undefined
110	1	2	undefined
111	1	2	undefined
112	1	2	undefined
113	1	2	undefined
114	1	2	undefined
115	1	2	undefined
116	1	2	undefined
117	1	2	undefined
118	1	2	undefined
119	1	2	undefined
120	1	2	undefined
121	1	2	undefined
122	1	2	undefined
123	1	2	undefined
124	1	2	undefined
125	1	2	undefined
126	1	2	undefined
127	1	2	undefined
128	1	2	undefined
129	1	2	undefined
130	1	2	undefined
131	1	2	undefined
132	1	2	undefined
133	1	2	undefined
134	1	2	undefined
135	1	2	undefined
136	1	2	undefined
137	1	2	undefined
138	1	2	undefined
139	1	2	undefined
140	1	2	undefined
141	1	2	undefined
142	1	2	undefined
143	1	2	undefined
144	1	2	undefined
145	1	2	undefined
146	1	2	undefined
147	1	2	undefined
148	1	2	undefined
149	1	2	undefined
150	1	2	undefined
151	1	2	undefined
152	1	2	undefined
153	1	2	undefined
154	1	2	undefined
155	1	2	undefined
156	1	2	undefined
157	1	2	undefined
158	1	2	undefined
159	1	2	undefined
160	1	2	undefined
161	1	2	undefined
162	1	2	undefined
163	1	2	undefined
164	1	2	undefined
165	1	2	undefined
166	1	2	undefined
167	1	2	undefined
168	1	2	undefined
169	1	2	undefined
170	1	2	undefined
171	1	2	undefined
172	1	2	undefined
173	1	2	undefined
174	1	2	undefined
175	1	2	undefined
176	1	2	undefined
177	1	2	undefined
178	1	2	undefined
179	1	2	undefined
180	1	2	undefined
181	1	2	undefined
182	1	2	undefined
183	1	2	undefined
184	1	2	undefined
185	1	2	undefined
186	1	2	undefined
187	1	2	undefined
188	1	2	undefined
189	1	2	undefined
190	1	2	undefined
191	1	2	undefined
192	1	2	undefined
193	1	2	undefined
194	1	2	undefined
195	1	2	undefined
196	1	2	undefined
197	1	2	undefined
198	1	2	undefined
199	1	2	undefined
200	1	2	undefined
201	1	2	undefined
202	1	2	undefined
203	1	2	undefined
204	1	2	undefined
205	1	2	undefined
206	1	2	undefined
207	1	2	undefined
208	1	2	undefined
209	1	2	undefined
210	1	2	undefined
211	1	2	undefined
212	1	2	undefined
213	1	2	undefined
214	1	2	undefined
215	1	2	undefined
216	1	2	undefined
217	1	2	undefined
218	1	2	undefined
219	1	2	undefined
220	1	2	undefined
221	1	2	undefined
222	1	2	undefined
223	1	2	undefined
224	1	2	undefined
225	1	2	undefined
